"cpv3","preco_total","count","mean","std","min","q1","q2","q3","max"
"650","3068855.5700000003",16,"191803.47312500002","332033.31806668086","0","8553.6375","61485.56","174175.29","1267418.03"
"926","11742502.462177735",235,"49968.09558373504","170473.50672108436","-276000","3236.875","9293.3","25521.8857421875","1746378"
"147","464872.1159375",13,"35759.39353365385","33480.290866207324","6860.18","15869.03","25336.68","39797.7109375","134407.796875"
"426","13799367.124375",111,"124318.62274211712","160863.35065508765","0","29349.375","79500","159500","1064082"
"330","27692725.267264407",958,"28906.8113436998","117383.94858833968","0","1203.25","4692.5","13396.5","2469082.25"
"344","16949118.01203125",65,"260755.66172355769","634912.6718606392","9000","40700.46","82500","199757","4331250"
"144","935163.703125",7,"133594.81473214287","52856.06316310598","32400","127466.75","129246","157004.6015625","204575"
"391","57416972.05364258",990,"57996.94146832584","91292.83929170312","0","8547.465","28075.754999999997","78101.875","1078800"
"183","456937.483125",10,"45693.7483125","52087.452448590346","1225.5","13959","17987.5","63375","149859.203125"
"387","5486996.893125",10,"548699.6893125001","878466.0550613941","0","43070.03","99319.6015625","572769.2375","2332000"
"375","38042021.71226562",52,"731577.3406204927","4845673.6130385855","1723.8","18226.5","39055.880859375","101455.265625","35000000"
"180","4057756.9200000004",59,"68775.54101694917","96935.873289943","490","12728","31666","75773.025","430327.21"
"507","74089025.38205567",597,"124102.22007044501","396001.4936664603","0","16064.59","45662.3984375","112215.6015625","6594417"
"427","1042965.89",8,"130370.73625","234387.16524631254","1946","11469","46778.945","87285","692990"
"850","11557854.507915039",93,"124278.00546145203","334258.8607074892","976","34994","59109","117159","2354600.5"
"352","7766428.462714843",83,"93571.42726162462","161757.56214715034","0","7984.8","37150","88000","955900"
"714","-24899468.01359375",90,"-276660.7557065972","1837783.5917119624","-10566000","14765.7425","39425","89415","1134750.96"
"433","12853288.111816406",77,"166925.8196339793","257646.7403729221","5658.93994140625","44500","104678.56","165000","1976000"
"637","10581755.919599608",85,"124491.24611293655","745522.9881469287","0","10394.7998046875","14634","53715.19921875","6888000"
"763","204095.546875",3,"68031.84895833333","38855.72839371231","26200","50550","74900","88947.7734375","102995.546875"
"514","996861.0396875",11,"90623.73088068182","96108.49378734497","14025","19856","44127.4","133394","270000"
"603","26917.77",1,"26917.77","NaN","26917.77","26917.77","26917.77","26917.77","26917.77"
